HolderAddress,isS3Node,ES>=20000,S2>=5000,SGN>=1,EffectiveScore,TotalScore,SGN,S2 (Decay 0%),S1 (Decay 50%),before S1 (Decay 75%),S2,S1,before S1,
0x01116bff69113dc1125dd9fc465eed55cf32e9ca,false,false,false,false,1027.5,4110,0,0,0,1027.5,0,0,4110,
0x01175ef4738b825cd12f4d1ff2d2904d52144531,true,true,true,true,963045.65,1858767.9,2,389135.9,413003.5,160906.25,389135.9,826007,643625,
0x016df27c5a9e479ab01e3053cd5a1967f96ecd6e,false,false,false,false,2600,2900,0,2300,300,0,2300,600,0,
0x01917dfa012027d59c86250e887a45f6d8f49f6d,false,false,false,false,475.5,1902,0,0,0,475.5,0,0,1902,
0x0374dd85fdbadaff0377bbe7d7753b054bd9e7e0,false,false,false,false,750,3000,0,0,0,750,0,0,3000,
0x03c99e93e1cd394c1cc8401e82140681c436b9f2,false,false,false,false,1850,1850,0,1850,0,0,1850,0,0,
0x043aee850680c4fb982761b585929834c26cc32c,true,true,true,true,36629.5,115307,1,4887,8275,23467.5,4887,16550,93870,
0x044372d3d19d34e77d5ee9c53ccd68703b6b669c,false,false,false,false,2.5,10,0,0,0,2.5,0,0,10,
0x0505e7fddf5a88a8a3743ac579cb6f33c181d4bb,false,false,true,true,17030,32540,1,1520,15510,0,1520,31020,0,
0x064f8aba7efd1d1288556f5649761844754d0cbe,false,false,false,false,4742,4742,0,4742,0,0,4742,0,0,
0x079ad9305e2f2069c99cad85e5467eee498a1f6e,false,false,true,true,9225,36900,1,0,0,9225,0,0,36900,
0x099c927e0dc0cb85ac209d82f9ae2362b899bdd5,false,false,true,true,3720,14880,1,0,0,3720,0,0,14880,
0x0a7e0f40b14db5d166ca036f930cc2d347b1ee8b,false,false,false,false,500,500,0,500,0,0,500,0,0,
0x0aab65863e955fa8e8d6ad4318bcfd82f3e0aa82,false,false,false,false,7.5,30,0,0,0,7.5,0,0,30,
0x0b67e4577e5fa87901483afbf5ba11c2ebf1297a,false,false,false,false,1325,4200,0,0,550,775,0,1100,3100,
0x0b96072210dd671c67d30e128676c963848a73c9,true,true,true,true,26741.75,106967,1,0,0,26741.75,0,0,106967,
0x0be36ff17dd4f9accf9404e6e0cf91d5b942f66a,false,false,false,false,500,500,0,500,0,0,500,0,0,
0x0c05aacc260d5ebfccdd9b06ab3633120cbe9676,false,true,true,false,34766.65,36133.3,0,33400,1366.65,0,33400,2733.3,0,
0x0cd131d695c0dd47648e70ede3bb13bcadea6f40,false,false,false,false,200,400,0,0,200,0,0,400,0,
0x0e5f40dc367d757f250b716cd46b6fbde90a1b8b,true,true,true,true,35841.5,143016,1,0,175,35666.5,0,350,142666,
0x0ecd65a928c35ffbf9c8048630336af51bdf6ffc,false,true,true,false,22241.25,88965,0,0,0,22241.25,0,0,88965,
0x0f24f4e4c1251a38665f0d8125ec1c895bbcbf91,false,false,false,false,1000,1000,0,1000,0,0,1000,0,0,
