"HolderAddress","Balance","PendingBalanceUpdate"
"0x01116bff69113dc1125dd9fc465eed55cf32e9ca","4.11E+21","No"
"0x01175ef4738b825cd12f4d1ff2d2904d52144531","1.8587679E+24","No"
"0x016df27c5a9e479ab01e3053cd5a1967f96ecd6e","2.9E+21","No"
"0x01917dfa012027d59c86250e887a45f6d8f49f6d","1.902E+21","No"
"0x0374dd85fdbadaff0377bbe7d7753b054bd9e7e0","3E+21","No"
"0x03c99e93e1cd394c1cc8401e82140681c436b9f2","1.85E+21","No"
"0x043aee850680c4fb982761b585929834c26cc32c","1.15307E+23","No"
"0x044372d3d19d34e77d5ee9c53ccd68703b6b669c","1E+19","No"
"0x0505e7fddf5a88a8a3743ac579cb6f33c181d4bb","3.254E+22","No"
"0x064f8aba7efd1d1288556f5649761844754d0cbe","4.742E+21","No"
"0x079ad9305e2f2069c99cad85e5467eee498a1f6e","3.69E+22","No"
"0x099c927e0dc0cb85ac209d82f9ae2362b899bdd5","1.488E+22","No"
"0x0a7e0f40b14db5d166ca036f930cc2d347b1ee8b","5E+20","No"
"0x0aab65863e955fa8e8d6ad4318bcfd82f3e0aa82","3E+19","No"
"0x0b67e4577e5fa87901483afbf5ba11c2ebf1297a","4.2E+21","No"
"0x0b96072210dd671c67d30e128676c963848a73c9","1.06967E+23","No"
"0x0be36ff17dd4f9accf9404e6e0cf91d5b942f66a","5E+20","No"
"0x0c05aacc260d5ebfccdd9b06ab3633120cbe9676","3.61333E+22","No"
"0x0cd131d695c0dd47648e70ede3bb13bcadea6f40","4E+20","No"
"0x0e5f40dc367d757f250b716cd46b6fbde90a1b8b","1.43016E+23","No"
"0x0ecd65a928c35ffbf9c8048630336af51bdf6ffc","8.8965E+22","No"
"0x0f24f4e4c1251a38665f0d8125ec1c895bbcbf91","1E+21","No"
"0x0fb45858d5963f92d4f9d301ccdc00ebe35cf04d","4E+20","No"
"0x103af2b33400a4f955744a7f70e749435444f808","6.4802E+22","No"
"0x106b48f8a7519b6d67c8f0ebc09f54a5d0eb8130","2.6E+20","No"
"0x10b4bd1a211bdd057ea16a2e13c086f67b587b4b","2.91853E+23","No"
"0x10ea167893cb51500ec829222e3d17a968feb650","1.971308E+23","No"
"0x111937d72b14fc0b998038f4ab68737cceeb15bf","5E+20","No"
"0x11bca896373747b0a8cb84f5a0f230bf6fe6a747","2.823E+22","No"
"0x1286bff958ddfb34dc0e49493cbc53f9e6d27b60","9E+21","No"
"0x12f1c601f289cecec11c4c210f14506f876ac791","5E+20","No"
"0x1340b7e3bf96f122eaa87e86d52ade87c8170bd1","2.1E+21","No"
"0x13e283646f203ef6b24cd5c8ed5dbbf29dd0d39f","7.65596E+23","No"
"0x141d0a6b445706a8bb49307badfe7d7d7a8a9b70","8.3E+21","No"
"0x1496f0bc152842c79993946946626af285b2b077","2.04364E+21","No"
"0x1532d98e151028ba6f4241b136c4844002612a30","2E+20","No"
"0x1534f20bf35904a10a1ad4c06641515d1c5d60ba","5.4888E+22","No"
"0x15c304129c4180b31b03e3609f7a579eaad75ef0","5E+21","No"
"0x1678b0bd85337d2c56baa6bd83f36f3f359482c1","4.888E+21","No"
"0x1701bbf4c5cfbeeebd846866f949001809835ff5","1.39993E+22","No"
"0x172697d24da16f36caf2fadc3e78b5a538fc858e","2.3203E+23","No"
"0x17c57bd297175e5711ee3daf045252b588f3162f","8E+20","No"
"0x18386181bcd9f939b15c1acf4a5525a82e398c3e","1.5E+22","No"
"0x1872a6bfa7cad9fa489ff5f4820268c1cf307f4d","6E+21","No"
"0x189dbf671b5256c2ef3a3debe84b40903876b4d8","2E+20","No"
"0x18e0ff7c3a14cd4d7acbfad41016edf20257a02a","3.1E+22","No"
"0x191bfd0535d06c56fdf80f37990d9cd20b807e9b","1.06769E+23","No"
"0x1a115e59610257ed0e3360a71846bcf3b6828b03","5.8E+20","No"
"0x1b76b011c0a1e03896bfc8923be228e430bb9049","2E+21","No"
"0x1c54bfddee111e05d6e45739c704b9bdba06a2ae","1.55E+21","No"
"0x1d3da11711f2bdcef35987fe5b072b2088bfdf59","2.5E+22","No"
"0x1d9136fa6c577adbf437db4e63dc216d331289e6","1E+19","No"
"0x1dd17a7386a883674ec2cefa7cbe6da75e719046","2.59E+22","No"
"0x1dd338e033e04b2756b01046fb47ac1fa6e212cc","8E+20","No"
"0x1e7959af4cbf22fae828da46ef18537c669d2216","5E+20","No"
"0x1e920de22ab994204a7f357f1ce4046544984de8","1.78E+21","No"
"0x1ec54e4dabacf888d8af8a15637a90a3fd506339","1E+19","No"
"0x1ef52bc0399977a8a3f171030cc9c9ebbf1f12cd","3E+19","No"
"0x1f5cee5df1049d3226b6365224c15180d0153122","3.35E+21","No"
"0x1fd00885df1c24aec7ebe239b9b22b3db039dccb","2.3E+22","No"
"0x1ff54c7590543b69578a896c58582f159003dc43","1.95E+22","No"
"0x20669775d663d9a461ef2b2efca8fe43954f4b13","5.0165E+22","No"
"0x21c4952bc587cff830b8e6bf16bd0352a97a91a7","4E+22","No"
"0x22455ae1ccc04ab4165e338d673eaeabde304b42","3.5E+20","No"
"0x23549f0f16033d7aaf01e65ddb6b8e1eed5b4ecf","7.608E+21","No"
"0x249a4a9a08833d1230ed7fb6acb08496b69bf405","1.92E+21","No"
"0x255677b3a8e1003e3d4c7ab18726e881d4d331e4","1.4E+20","No"
"0x258ce53268beaa9ba97fa6b7790d7555ae4044fc","5.706E+21","No"
"0x262c69a3e9ad1b87b70dbe38942a5be1fb28270a","5E+20","No"
"0x264e07555473bd331d0b320791251050e6492a54","1.92E+21","No"
"0x26765cd74f3e206e74bf02bf21441e40b70fa616","3.2E+21","No"
"0x26a8ae8435bb9653c7c66c64217d15e397a4523e","3.6E+22","No"
"0x26c47eaba0879367817173233cf7380cd931a184","1E+19","No"
"0x26e850e94b0b7b672544a5b60ac3463957a817ba","1E+19","No"
"0x273cb48e6189c27474f5520f1795d31fb5f9d649","1.8E+20","No"
"0x27aa5a880b512beaf40d1b2e0f256b09f5711444","1.02557E+23","No"
"0x27b503fd677dd889ea3e7804df492d2d809e6052","1.48737364E+24","No"
"0x2852ce37f16693b4159246d567a3a89f59511dbd","5E+20","No"
"0x28a6cab52923b40dbbc11683cd72bcafbb6a1cb5","3.804E+21","No"
